city,region,variant,sample_n,effective_n,shrinkage_city_weight,income_band_low,income_band_high,base_total_per_ae_2018,share_g1_food,share_g2_housing,share_g3_household_articles,share_g4_clothing,share_g5_transport,share_g6_health_personal,share_g7_personal_expenses,share_g8_education,share_g9_communication
Rio Branco,North,core,44,40.35309215650423,0.3352892014110452,2308.63766666672,4543.71311111104,1938.9373249432592,0.23396592758917523,0.4298637876077714,0.0,0.05172343297483759,0.09546824710484605,0.13079635298377082,0.0,0.02327353725249833,0.03490871448710054
Rio Branco,North,expanded,44,40.27383344471661,0.3348511666357447,2308.63766666672,4543.71311111104,2015.3101019353019,0.2146963979747618,0.3945945803678405,0.030451026945530174,0.04753305510037636,0.13858450260250765,0.12044773317759627,3.7972599462179354e-05,0.021381614641878134,0.03227311659004685
São Luís,Northeast,core,26,23.578495699591105,0.22763890844655496,2308.63766666672,4543.71311111104,1903.005335806623,0.22671222446231706,0.3330741122690245,0.0,0.05791136839248119,0.13139719828532304,0.14474931216588224,0.0,0.06586381317921557,0.04029197124575634
São Luís,Northeast,expanded,26,23.578495699591105,0.22763890844655496,2308.63766666672,4543.71311111104,2029.4798953758116,0.2110969098663313,0.3103699585202982,0.05387701946594579,0.05394413310755787,0.13469982196681898,0.13518320716827886,0.0017067411972905098,0.06150362841270884,0.03761858029476969
Aracaju,Northeast,core,60,49.98700892776219,0.3845538822694314,2308.63766666672,4543.71311111104,1982.9590391866886,0.23606205696794666,0.31433216726809765,0.0,0.05016188452821178,0.12228164813822735,0.16625136815336944,0.0,0.07314770302474144,0.0377631719194058
Aracaju,Northeast,expanded,60,49.98700892776219,0.3845538822694314,2308.63766666672,4543.71311111104,2099.253015605717,0.22169916316049923,0.2954639936470984,0.04519205669244519,0.047148859601328794,0.1282363464703695,0.15641930322681102,0.0014600213170598536,0.06882564952266926,0.03555460636171884
Campo Grande,Center-West,core,87,81.39027877328691,0.5043071949062059,2308.63766666672,4543.71311111104,1907.3754775532452,0.2492540073001579,0.346243634200389,0.0,0.05410099064089142,0.13327184920256213,0.12965452426123014,0.0,0.05034238891123512,0.03713260548353425
Campo Grande,Center-West,expanded,87,81.39027877328691,0.5043071949062059,2308.63766666672,4543.71311111104,2090.069839892427,0.232460560444566,0.32291552753115854,0.04419278971995488,0.050455945487941904,0.14472589974211536,0.12091907247711499,0.002748823249862412,0.04695057891820144,0.03463080242908444
Goiânia,Center-West,core,41,30.813043401479096,0.27806332590146887,2308.63766666672,4543.71311111104,1927.2453976648774,0.22234209969971175,0.35890561780541785,0.0,0.05041685108807706,0.1452169827187609,0.1382543993416662,0.0,0.047140953918974014,0.037723095427392224
Goiânia,Center-West,expanded,41,30.813043401479096,0.27806332590146887,2308.63766666672,4543.71311111104,2092.537111410798,0.20763387976179024,0.33516354299921985,0.04182923281147393,0.04708171062038165,0.1578616968437256,0.12910869047389528,0.002071064711613824,0.044022518322386045,0.03522766345551359
Brasília,Center-West,core,155,141.2293615564467,0.6383843471898825,2308.63766666672,4543.71311111104,1868.6014496369419,0.19609568543923253,0.37622733153994203,0.0,0.04542314022051104,0.137105686223444,0.14270682876634713,0.0,0.05774191562764266,0.04469941218288065
Brasília,Center-West,expanded,155,140.4454508078144,0.6370984308959751,2308.63766666672,4543.71311111104,2022.8069833086297,0.18169336553348595,0.3540825864989997,0.03832162758508135,0.041662508127185395,0.15053174442017794,0.13656428206243235,0.0029610898149274134,0.053173428720018005,0.04100936723769196
Belém,North,core,14,12.839660323329817,0.13829930310616745,2308.63766666672,4543.71311111104,2076.1856737379394,0.23853357730053062,0.44558670992582877,0.0,0.04732387345871375,0.07210340681613006,0.13667983117867039,0.0,0.028623701351357788,0.03114889996876868
Belém,North,expanded,14,12.839660323329817,0.13829930310616745,2308.63766666672,4543.71311111104,2195.3887985650335,0.21603553897149422,0.403617566223828,0.02639919732066971,0.042881246558429474,0.13284973990498244,0.1239398927902049,4.529041381153994e-05,0.025937353124113806,0.028294174692465826
Fortaleza,Northeast,core,92,74.13174849198607,0.48096352125558667,2308.63766666672,4543.71311111104,1861.5461988912461,0.2244295618161747,0.34958790679144636,0.0,0.049427043885949436,0.13192889084222126,0.1318581939681012,0.0,0.07303526792734169,0.03973313476876536
Fortaleza,Northeast,expanded,92,74.13174849198607,0.48096352125558667,2308.63766666672,4543.71311111104,1929.7516969605163,0.2121433783807177,0.3305793978224977,0.03992986751056604,0.04675342441535872,0.13772695961057496,0.12495553040707119,0.0011317340668160233,0.06914786715641355,0.0376318406299841
Recife,Northeast,core,48,43.05700302485712,0.3498947801951567,2308.63766666672,4543.71311111104,1945.6385299565536,0.229040248717252,0.34804362088956636,0.0,0.04906323164953606,0.12008044461651737,0.14570977409821537,0.0,0.06890687663778422,0.039155803391128605
Recife,Northeast,expanded,48,43.05700302485712,0.3498947801951567,2308.63766666672,4543.71311111104,2067.7441578711305,0.2137711379604466,0.32501052042957734,0.05235858434117445,0.04583271794379811,0.12394413128108595,0.13633254665701172,0.0016627064890086508,0.06445396964079135,0.03663368525710586
Salvador,Northeast,core,65,52.45047125955023,0.39600063903712485,2308.63766666672,4543.71311111104,1933.2464918933929,0.24634681289363444,0.3246383924906118,0.0,0.04837585546697148,0.14020917592099977,0.13765690507222078,0.0,0.06245988420300013,0.0403129739525616
Salvador,Northeast,expanded,65,52.45047125955023,0.39600063903712485,2308.63766666672,4543.71311111104,2037.3351989371342,0.23071272468322895,0.3042944592832474,0.04765417954075227,0.04535211442972848,0.14511355084332847,0.12927174732744215,0.0011108456478714662,0.05865033964981224,0.03784003859458854
Belo Horizonte,Southeast,core,84,73.84868844966974,0.48000856681874604,2308.63766666672,4543.71311111104,1978.0040510233468,0.23753892799890372,0.3675533806513234,0.0,0.045537324436811875,0.11877841264529108,0.13763634073909692,0.0,0.041605951531052725,0.05134966199752039
Belo Horizonte,Southeast,expanded,84,73.10325784272288,0.4774768275526773,2308.63766666672,4543.71311111104,2070.586174694313,0.2166465195857807,0.3452794381662896,0.04236035325893649,0.04436639002582668,0.12821029098406544,0.1302590006204991,0.004861646894163861,0.03975514263962762,0.048261217824810465
Grande Vitória,Southeast,core,192,119.93418861908374,0.5998683339125324,2308.63766666672,4543.71311111104,1775.4319665305893,0.18302818875760715,0.40378238585151105,0.0,0.04004561988952346,0.1059793088628956,0.16803110233822957,0.0,0.04314278423021718,0.05599061007001593
Grande Vitória,Southeast,expanded,192,119.55391386944052,0.5991058333622034,2308.63766666672,4543.71311111104,1887.0655606894497,0.17028902726837175,0.38524103200513576,0.03219057733875298,0.03808065029916253,0.11409664362327468,0.1610927208074081,0.0015240763548596671,0.04409342757725603,0.053391844725778424
Rio de Janeiro,Southeast,core,183,126.61936379194591,0.6128146049246599,2308.63766666672,4543.71311111104,2073.291449256352,0.22659134489120275,0.4153524345659281,0.0,0.03786329540925817,0.11067935307828071,0.11693419204712312,0.0,0.04295053528587074,0.04962884472233647
Rio de Janeiro,Southeast,expanded,183,126.07387199876257,0.6117896984025205,2308.63766666672,4543.71311111104,2167.926951974154,0.21285488509889974,0.3979780876131413,0.030005611500301482,0.03636124661049596,0.11835661084435241,0.11341617770466138,0.003451229604946295,0.040512306809133314,0.04706384421406803
São Paulo,Southeast,core,147,121.30079867697218,0.6025847859233973,2308.63766666672,4543.71311111104,2085.120612237477,0.21299424331142708,0.40814466393044724,0.0,0.04006195553401753,0.10928514953840647,0.1371286069341784,0.0,0.047456179949652275,0.04492920080187107
São Paulo,Southeast,expanded,147,121.4719239217593,0.6029223405288588,2308.63766666672,4543.71311111104,2181.6227850325054,0.19815036567748698,0.3830644652246347,0.03828104698378666,0.03756661063293385,0.12217926460306074,0.12905281870024246,0.005306982919262858,0.044331148252073675,0.042067297006518053
Curitiba,South,core,90,72.44947043839824,0.4752359600204293,2308.63766666672,4543.71311111104,2116.3362239100516,0.20257841491739614,0.40731318289189794,0.0,0.03804666358590344,0.13274713111304234,0.11564403852959448,0.0,0.0533909134825344,0.05027965547963136
Curitiba,South,expanded,90,72.44947043839824,0.4752359600204293,2308.63766666672,4543.71311111104,2210.0590218432226,0.19089906505924129,0.3810300159144588,0.031150145411509747,0.03571702383122679,0.14887879284824287,0.10835006056951915,0.005399622181112457,0.05134301274288145,0.04723226144180743
Porto Alegre,South,core,79,73.65851221791073,0.47936499680181693,2308.63766666672,4543.71311111104,1988.136129774024,0.22452515759988123,0.4085761187121169,0.0,0.034792319938521624,0.11348573482068973,0.12394026565362033,0.0,0.04503317318585647,0.049647230089313765
Porto Alegre,South,expanded,79,73.65363675747666,0.47934847694968563,2308.63766666672,4543.71311111104,2077.4618037482096,0.21276882473654438,0.37781678952664227,0.03796317933653036,0.03258129180491311,0.12146626557050598,0.11528760103141873,0.00902360933116206,0.04649435062548346,0.04659808803679977
